gRNA	target_gene	cells
nt0001	NonTargeting	189
nt0002	NonTargeting	209
nt0003	NonTargeting	299
nt0004	NonTargeting	460
nt0005	NonTargeting	233
nt0006	NonTargeting	186
nt0007	NonTargeting	355
nt0008	NonTargeting	272
nt0009	NonTargeting	213
nt0010	NonTargeting	293
sg001	ABCA1	125
sg002	ABCA1	74
sg003	ADAMTS6	84
sg004	ADAMTS6	147
sg005	AFAP1	172
sg006	AFAP1	56
sg007	ALDH9A1	43
sg008	ALDH9A1	37
sg009	ANAPC1	94
sg010	ANAPC1	76
sg011	ANGPT1	48
sg012	ANGPT1	61
sg013	ANGPT2	145
sg014	ANGPT2	126
sg015	ANGPTL2	375
sg016	ANGPTL2	267
sg017	ANKH	247
sg018	ANKH	284
sg019	ANTXR1	423
sg020	ANTXR1	328
sg021	ARHGEF12	106
sg022	ARHGEF12	267
sg023	ATXN2	274
sg024	ATXN2	320
sg025	BCAS3	167
sg026	BCAS3	161
sg027	CAPZA1	104
sg028	CAPZA1	108
sg029	CAV1	198
sg030	CAV1	314
sg031	CAV2	312
sg032	CAV2	361
sg033	CDH11	142
sg034	CDH11	171
sg035	COL24A1	288
sg036	COL24A1	82
sg037	CTTNBP2	240
sg038	CTTNBP2	171
sg039	DGKG	89
sg040	DGKG	351
sg041	EFEMP1	242
sg042	EFEMP1	255
sg043	EMCN	233
sg044	EMCN	275
sg045	EMID1	426
sg046	EMID1	290
sg047	ETS1	336
sg048	ETS1	141
sg049	FBXO32	188
sg050	FBXO32	158
sg051	FER	238
sg052	FER	99
sg053	FERMT2	196
sg054	FERMT2	41
sg055	FMNL2	124
sg056	FMNL2	76
sg057	FNDC3B	179
sg058	FNDC3B	142
sg059	GAS7	71
sg060	GAS7	108
sg061	GNB1L	81
sg062	GNB1L	307
sg063	KALRN	202
sg064	KALRN	239
sg065	KREMEN1	154
sg066	KREMEN1	195
sg067	LMO7	124
sg068	LMO7	152
sg069	LMX1B	159
sg070	LMX1B	72
sg071	ME3	66
sg072	ME3	153
sg073	MECOM	251
sg074	MECOM	255
sg075	MYOF	94
sg076	MYOF	117
sg077	PARD3B	183
sg078	PARD3B	304
sg079	PDE7B	410
sg080	PDE7B	183
sg081	PKHD1	203
sg082	PKHD1	154
sg083	PLEKHA7	123
sg084	PLEKHA7	86
sg085	PRSS23	102
sg086	PRSS23	286
sg087	PTPRJ	47
sg088	PTPRJ	46
sg089	RALGPS1	200
sg090	RALGPS1	71
sg091	RUNX2	84
sg092	RUNX2	42
sg093	SPTBN1	382
sg094	SPTBN1	77
sg095	TES	166
sg096	TES	186
sg097	TIMP3	551
sg098	TIMP3	246
sg099	TMCO1	402
sg100	TMCO1	138
sg101	TNS1	304
sg102	TNS1	523
sg103	TRIOBP	748
sg104	TRIOBP	531
sg105	TXNRD2	124
sg106	TXNRD2	509
sg107	ZNF280D	260
sg108	ZNF280D	217
sg109	ABO	293
sg110	ABO	376
sg111	TEX41	712
sg112	TEX41	482
sg113	CYP1B1	203
sg114	CYP1B1	281
sg115	FOXC1	346
sg116	FOXC1	189
sg117	GMDS	238
sg118	GMDS	229
sg119	LTBP2	280
sg120	LTBP2	338
sg121	MYOC	63
sg122	MYOC	338
sg123	TEK	121
sg124	TEK	171
NA	NA	74196
